# Matrix non-normalized table for RT-PCR submission based on a Platform not yet represented in GEO.																																																						
# The ID_REF column must contain unique identifiers.																																																						
"# SAMPLE columns should report non-normalized data (e.g., raw Ct_Target)."																																																						
# SAMPLE column header names must match Sample name column in SAMPLES section of Metadata sheet.																																																						
																																																						
ID_REF	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	s1-2	s2-1	s2-3	s2-4	s3-1	s3-2	s1-1	s2-2	s3-3	s3-5	s3-6	s3-7	s3-8	s4-1	s4-2	s4-3	s4-4	s5-1	s5-2	s5-3	s5-4	s6-1	s6-2	s6-3	s6-4	s6-5	s6-6	s7-1	s7-2	s7-3	s7-4	s7-5
hsa-let-7f	29.99387759	30.03743559	31.97893359	32.67643359	30.84295359	30.32537059	29.11925359	31.82378359	29.69711159	28.65280559	28.62463959	28.54430059	30.65088059	31.49926359	32.73286859	29.08362959	30.28433859	30.49127959	31.06228059	33.63315959	30.78800259	30.56656359	28.17291359	28.28140059	30.95835359	29.96292759	27.81996559	28.98658559	29.82264759	31.06801259	29.23768859	32.78428359	27.59027859	29.20885459	32.17710159	30.34043159	30.09381359	29.92189259	30.89694259	31.78689559	31.89224359	32.04011359	29.77511659	29.75967959	29.73540159	29.72269359	30.77214859	28.30223359	29.35821159	30.14351659	31.14273459	29.80492359	31.24570359	29.24626559
hsa-let-7f-1*	34.14984641	34.89802941	35.27317441	34.67464641	34.06952641	35.99571641	35.27256341	35.56240041	35.93574641	34.60795941	36.29500641	35.06086641		35.50324941			33.92921441	35.60109341				34.85743341	35.01165641	36.41558041	34.08966441	33.98789141	34.46711641		35.64892141	34.91611641	34.31641341		34.34912841	35.29585241		34.95476841			35.54340341	35.74610641	34.83057341	36.64630841			35.59764841	34.25897141	36.10571241	34.46960041		34.08918641		33.95300241	35.93690841	36.67676141
hsa-let-7f-2*	33.48693441	33.80920641	34.65880941	33.62324641	35.30334441	36.23165841	34.73562641		35.55205141	34.47680241	33.96372941	34.84913241	35.93214341	35.54007341	35.07612941	35.46903241	34.30394641	34.01704641	34.94356941	34.85013941	34.80117341	33.91099941	33.34368641	34.46124241	34.85276641	33.00019641	34.55414641	33.02375041	35.90923241	34.37948641	33.38194641	34.62316841	33.02695441	34.25088641				34.13177041	35.95251641	36.68929241	33.86617241	36.01634141	35.22726441	33.98370641	33.87293941	33.91657241	34.86560041	33.05484341	34.93770141	33.89462241	36.52398641	35.73870041	35.99484641	35.82609641
hsa-let-7g	27.25167659	27.53707159	29.82011059	29.89187859	28.42553359	27.77716659	27.27582359	29.27208759	27.46731759	26.99820759	26.83532559	27.15921359	28.01334359	28.50428759	30.16826059	27.18072959	27.67466159	28.44035759	27.74109659	30.75301159	28.45665159	27.26815259	25.68095359	26.62056959	27.59214259	27.18118459	26.31877559	26.70875559	27.74013559	28.36986159	26.92939559	30.76174959	24.96102559	27.30777959	28.95869059	29.07220059	27.96128359	27.84071559	28.39126259	29.14715559	28.62762459	29.43882759	26.79908159	28.04152159	28.13754659	27.25527359	28.16127059	24.72085559	27.51068559	27.39867959	28.83533659	28.37392859	28.56147559	26.58888359
hsa-let-7g*	33.72046241	34.66586641		35.04029041	36.43178141		35.44815441				34.83167241	35.45289241	34.48426041	36.89983341		36.74019241	34.45917141	35.05370641	34.89899041	35.41538941	36.69069241	34.42088241	35.41552341		35.67319841	34.72668041	36.23240641	34.86556641		35.64134941	35.00032441		33.69660941	36.77785641					36.16229241	35.72336641	36.57600041	35.75581341	36.51923341	36.15209941		34.52321641	35.33715441	33.77161041		33.73757641			35.38162241	
hsa-let-7i	28.16232859	28.01429359	30.20902859	30.30617559	29.16148059	28.91735359	28.25614559	29.88524859	28.70796659	27.61794459	27.70769159	27.87222659	28.77348159	29.36193159	30.50522859	28.40598559	28.61565959	29.18820059	28.53914859	30.80562859	29.33273959	28.13216359	26.98869559	28.15477159	27.92973359	28.08300959	28.26758059	27.88501159	29.10264259	29.22918759	28.06545059	30.75282659	25.20200559	27.56351659	29.30326059	30.05170659	29.08701559	28.62137359	29.23308559	28.91909959	29.09555059	29.52326259	27.77201059	28.62540859	28.55060559	26.48731059	27.95987759	25.79025359	28.37392259	27.20110359	29.37636759	28.91394259	28.45756159	26.94256959
hsa-let-7i*	32.49834041	33.40750641	33.72628041	33.47039041	34.91751841	35.84671041	33.56223641	35.14647641	34.10504141	33.54566941	32.68188641	34.59714841	34.08042641	33.78215341	35.30606041	34.64847141	34.82964341	34.12003341	31.61773241	33.16780041	32.96545041	32.55568241	34.17611641	33.79972441	34.72581641	35.44628641	33.57411641	36.63895041	33.79794241	34.09435241	34.05175041	34.70701941	32.49639841	33.68836941	36.28628641		36.29834641	34.58697141	36.93677841		34.17150041	34.48210841	34.54677641	33.07879641		33.89514641	32.73821641	32.69995841		32.83146241	35.73541241	34.64488641	34.48505641	32.54599341
hsa-miR-1	31.28412659	33.05352359	35.75351759	34.90561659	34.83852059	32.52714559	33.29123359	34.47573859	35.68980359	31.39744959	33.97066359	33.27954159	35.35322559	35.28509359		30.97685059	34.13615059	33.80459959	33.77372359	33.43421359	33.41664359	32.24343359	29.14515859	30.20117359	26.58671559	27.22959159	28.82263259	30.76813359	28.07145159	30.35452859	29.45789159	28.79692359	33.35599159	31.08814459	33.69277359	33.54728359	28.08081459	33.07054159	27.96392359	31.57344659	27.90720159	33.40163359	29.87867159	29.21071359	30.36294959	30.84040459	31.26745059	27.69916359	31.08819759	33.17316359	29.89116359	31.56721559	31.68723159	29.02287359
hsa-miR-101	27.00571359	26.33836759	28.50413959	27.02109759	27.63551159	27.98201759	28.35400759	29.26918859	28.15261859	27.45957359	27.39506359	28.95364759	26.78619359	27.30832859	28.23900859	28.27830559	27.54998759	27.58957159	26.82867859	28.18758059	27.79319059	26.96763359	25.11246859	27.19239859	27.00116159	25.62423559	27.60849559	26.57477959	27.23361659	27.69344759	26.18653559	30.76755959	24.28091359	26.18173959	28.18029959	29.34124559	27.82953859	27.47343059	27.91966059	28.95796059	26.58497359	27.43325259	27.08084559	27.72433159	27.82030159	25.07140559	26.09058559	24.93406359	28.27212159	24.31487859	28.13706959	28.43331959	26.82368359	25.42566359
hsa-miR-103	25.58036259	25.91627559	27.32604959	27.77966159	26.67894559	26.56996359	25.58749259	27.74081859	25.96862659	25.51816559	25.37047759	25.23746159	26.10791959	26.84600059	28.01286559	25.47914159	26.12961559	26.21721659	25.79214459	28.28858959	26.26569059	25.65941059	25.19919759	25.66395959	26.30030459	25.83578859	25.66741059	25.69394159	26.40554659	27.00005759	25.58172259	28.74843659	23.57884659	25.45084059	27.31666959	26.91943359	26.05207659	26.36769659	27.17563659	27.35830559	27.32555759	27.89448959	25.76339959	26.20538959	26.33300959	25.10871359	26.43600659	23.40014459	26.10868459	25.60676359	27.26324359	26.36568859	27.01825959	24.69517759
